,LONGITUDE,LATITUDE
0,-116.68516351702425,-55.75060613338576
1,-117.09895003821329,-56.08779449197275
2,-117.52173758693813,-56.42291047692729
3,-117.95373708705955,-56.75589052441687
4,-118.39514784838897,-57.08665749157066
5,-118.84621899926117,-57.415166398571756
6,-119.30715749709697,-57.74133553246209
7,-119.7781888447552,-58.06509234357251
8,-120.25954173499967,-58.38636186930364
9,-120.75144780410088,-58.7050666678749
10,-121.25412372548486,-59.02111583899704
11,-121.76784098953337,-59.334448710726996
12,-122.29282095080593,-59.64496900866364
13,-122.82930376044347,-59.95258873256831
14,-123.37753065555935,-60.257217091193695
15,-123.9377434385481,-60.55876044722791
16,-124.51016383174772,-60.857111975528746
17,-125.09507266547652,-61.15219289419097
18,-125.69269007433086,-61.443890336940555
19,-126.30325369341465,-61.73209881973787
20,-126.92699817076117,-62.016709810230914
21,-127.56415424135952,-62.29761170793775
22,-128.21492491364273,-62.574680292543114
23,-128.87957512812918,-62.84781702685315
24,-129.55829518299237,-63.11689140946503
25,-130.25128926717383,-63.38177957132556
26,-130.95875178140017,-63.64235463843528
27,-131.6808659019526,-63.89848678590043
28,-132.41780205679677,-64.15004330904338
29,-133.16968997890967,-64.39688023600078
30,-133.93672183478645,-64.63887651617104
31,-134.7189940075716,-64.87588278227257
32,-135.5166090303928,-65.10775591472304
33,-136.32964786365298,-65.33435057743107
34,-137.1581679326621,-65.55551942215563
35,-138.00217158330108,-65.77110594172251
36,-138.86172166733814,-65.98097444330571
37,-139.73676387602737,-66.18496546976934
38,-140.62724124219346,-66.38292622357154
39,-141.53306312720252,-66.57470334116145
40,-142.45410325987362,-66.76014327181946
41,-143.39016513038712,-66.93908659519418
42,-144.34111058473835,-67.11139305871457
43,-145.30666339090064,-67.27690480214066
44,-146.28653709176672,-67.43547190609539
45,-147.28040151504166,-67.58694659213515
46,-148.2878817135524,-67.73118376459767
47,-149.30852154563672,-67.8680369554746
48,-150.3419252101184,-67.99737763087111
49,-151.38754465649535,-68.1190672965341
50,-152.44482088446392,-68.23297734017576
51,-153.51314929963704,-68.33898475517992
52,-154.59188062753668,-68.43697273576022
53,-155.68032223035846,-68.52683126285952
54,-156.7777016308791,-68.60845498779656
55,-157.88332119892473,-68.6817548188164
56,-158.99633231703834,-68.74664145259138
57,-160.1158902735224,-68.80303747297859
58,-161.24111967782355,-68.85087482291482
59,-162.37107887177402,-68.89009399396576
60,-163.50492083419243,-68.92064951612355
61,-164.64166226907065,-68.94250208629785
62,-165.78034471107034,-68.9556245411655
63,-166.92000007629397,-68.96000051498413
64,-168.05965544151755,-68.9556245411655
65,-169.19833788351724,-68.94250208629785
66,-170.3350399422526,-68.92065042503309
67,-171.46888202168824,-68.89009520408939
68,-172.59888047476434,-68.85087482291482
69,-173.72410987906545,-68.80303747297857
70,-174.84366783554955,-68.74664145259138
71,-175.9566789536631,-68.6817548188164
72,-177.06226031770296,-68.6084576746542
73,-178.1596779222295,-68.5268312628595
74,-179.24811952505118,-68.43697273576022
75,179.67314914704914,-68.3389847551799
76,178.60482073187603,-68.23297734017575
77,177.54754450390746,-68.1190672965341
78,176.50192505753043,-67.9973776308711
79,175.46855701245437,-67.86804157199204
80,174.4478815609645,-67.73118376459767
81,173.44040136245377,-67.58694659213513
82,172.44653693917883,-67.43547190609539
83,171.46666323831275,-67.27690480214065
84,170.50114366469114,-67.11139891715968
85,169.55019769930115,-66.93909268665293
86,168.61410310728576,-66.76014327181946
87,167.69306297461463,-66.57470334116141
88,166.7872410896055,-66.3829262235715
89,165.89676372343945,-66.18496546976931
90,165.02172151475025,-65.9809744433057
91,164.16217143071322,-65.77110594172247
92,163.31816778007422,-65.55551942215558
93,162.48964771106512,-65.33435057743104
94,161.67660887780494,-65.10775591472301
95,160.87899385498378,-64.87588278227256
96,160.0967485456154,-64.63888482262286
97,159.3297161632322,-64.39688871304638
98,158.57780190420894,-64.15004330904337
99,157.84086574936467,-63.89848678590042
100,157.11875162881233,-63.64235463843523
101,156.411289114586,-63.38177957132552
102,155.7182950304045,-63.11689140946499
103,155.0395749755413,-62.84781702685309
104,154.3749475688567,-62.574689833648364
105,153.72415408877168,-62.2976117079377
106,153.08699801817332,-62.01670981023087
107,152.46325354082683,-61.732098819737836
108,151.85268992174304,-61.44389033694051
109,151.25509301585475,-61.152203069196105
110,150.67018374555425,-60.85712226607509
111,150.09774328596023,-60.558760447227876
112,149.53753050297155,-60.257217091193645
113,148.98930360785562,-59.952588732568245
114,148.45282079821814,-59.64496900866359
115,147.92784083694556,-59.334448710726946
116,147.41412357289704,-59.02111583899699
117,146.91144765151304,-58.70506666787484
118,146.41954158241188,-58.3863618693036
119,145.93818869216736,-58.06509234357246
120,145.46715734450916,-57.741335532462024
121,145.00623465911923,-57.41517775073129
122,144.5551631699297,-57.08666892364028
123,144.11373693447175,-56.75589052441682
124,143.68173743435034,-56.42291047692725
125,143.2589498856255,-56.087794491972694
126,143.2589498856255,-56.087794491972694
127,142.60686576602993,-56.3369919977304
128,141.9462716570256,-56.582719725301736
129,141.2770936794785,-56.824901758096125
130,140.5992720583442,-57.063457833103186
131,139.91275015805678,-57.298307661520724
132,139.2174808270736,-57.52936891283342
133,138.51341478355943,-57.75656126116491
134,137.8005191893747,-57.97980043749207
135,137.0787661331989,-58.1990023220521
136,136.34813932061937,-58.41408108701992
137,135.60862188161153,-58.62495299094132
138,134.8602158920889,-58.83153087416259
139,134.10293356528143,-59.03372713702969
140,133.33678774812125,-59.23145639049616
141,132.5618121309848,-59.42463030899125
142,131.77805036844873,-59.61316087235377
143,130.98555474909983,-59.79696083871159
144,130.18438997628175,-59.97594301088271
145,129.37463892078384,-60.15001926132236
146,128.55639085330927,-60.31910337086879
147,127.7297558901516,-60.483108168086
148,126.89485117926534,-60.641948623789965
149,126.05181556799833,-60.79553917802251
150,125.20079727392307,-60.94379635363758
151,124.34195948212617,-61.08663785249563
152,123.47548620217516,-61.22398186441699
153,122.60156933520136,-61.3557493942856
154,121.72042377437019,-61.48186207434242
155,120.83227226742281,-61.602244643538846
156,119.9373606385127,-61.71682295838633
157,119.03594226442166,-61.82552627688656
158,118.12829338875571,-61.928285469248394
159,117.21469920359226,-62.025034893982784
160,116.29545929699788,-62.11571182472787
161,115.37089325277378,-62.2002561075154
162,114.441326159826,-62.278611686348874
163,113.5071020160103,-62.350725463992774
164,112.56857912736218,-62.416547945825634
165,111.62611506476853,-62.47603432427077
166,110.680090254441,-62.52914291678357
167,109.7308949503191,-62.575836285432416
168,108.7789158639178,-62.6160818467799
169,107.82455983850312,-62.64985077109766
170,106.86823633230324,-62.677118919848354
171,105.91036456488794,-62.69786663856474
172,104.95135574485319,-62.712079157802044
173,103.99163679844443,-62.71974610675672
174,103.03163671550882,-62.7208619475393
175,102.07177282536271,-62.715425881962034
176,101.11247453683633,-62.703441825417805
177,100.15416546254282,-62.6849184404974
178,99.19727050738692,-62.65986920957577
179,98.24219808557952,-62.62831192439695
180,97.28936384376041,-62.59026927367268
181,96.3391729295924,-62.54576835716875
182,95.3920271551313,-62.494840919923355
183,94.44830755130522,-62.43752233208101
184,93.50839802742024,-62.3738527910482
185,92.57267206507936,-62.303876647896125
186,91.64147977718872,-62.22764122684802
187,90.715171473562,-62.14519848863763
188,89.79408071672162,-62.056603678062146
189,88.87853172231706,-61.96191586304522
190,87.96882296528419,-61.86119608528547
191,87.06525053209837,-61.75450963679271
192,86.16809571186856,-61.641924753846084
193,85.27761314481906,-61.52351084224663
194,84.39405393195239,-61.399341209746105
195,83.51764989840264,-61.26949094186646
196,82.64862116891665,-61.13403777931679
197,81.78716112196761,-60.99305954897684
198,80.93345905062942,-60.84663749358076
199,80.08768882838729,-60.69485442544304
200,79.24999462395711,-60.53779176703574
201,78.42053119728787,-60.37553677741465
202,77.59941688243305,-60.20817358040429
203,76.7867560224649,-60.03578687845643
204,75.98266014127222,-59.85846646980633
205,75.18720606426001,-59.67629812089362
206,74.40045781705743,-59.489367708584055
207,73.62248720162296,-59.297766126107796
208,72.85333334169273,-59.10157942039168
209,72.09302397774249,-58.90089334486057
210,71.34159539960574,-58.69579863536997
211,70.59904700780288,-58.48637862059595
212,69.86539394756093,-58.2727233361091
213,69.14062237196848,-58.05491680912125
214,68.42470962059598,-57.833042250820625
215,67.71764300965933,-57.60718790381591
216,67.01938310278126,-57.37743542127891
217,66.32988317837949,-57.143865414267275
218,65.64910731377128,-56.906563614059316
219,64.97699500252116,-56.66560866285424
220,64.31347989666718,-56.42107799400989
221,63.65850718366514,-56.1730542882975
222,63.01199951515787,-55.92161271208152
223,62.37387502211668,-55.666827108576776
